Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
31,0,1,0,24,3,0,64,1,2,4,2,10810,4.0,11,8,3,13.0,4,7,1,7,4.0,4.0,3.0,4,3
32,0,1,1,7,3,3,65,1,2,4,0,24720,7.0,13,8,0,10.0,2,7,0,7,1.0,4.0,2.0,3,3
28,1,1,1,9,4,1,66,1,1,0,1,56730,5.0,14,8,1,5.0,4,3,2,2,1.0,4.0,2.0,2,3
30,0,1,1,13,3,0,67,0,4,7,1,41970,1.0,13,8,0,11.0,3,10,1,9,4.0,4.0,3.0,3,3
31,0,2,1,2,1,0,68,0,1,5,1,97130,1.0,17,8,0,10.0,5,10,8,9,3.0,3.0,3.0,2,3
39,0,2,1,19,4,1,69,0,1,1,1,20620,1.0,13,8,0,21.0,4,21,13,3,3.0,4.0,3.0,3,3
39,1,1,1,1,1,1,70,0,1,2,1,42840,4.0,17,8,1,12.0,0,1,0,0,4.0,3.0,2.0,3,3
33,0,2,0,4,2,0,71,1,4,1,0,47880,3.0,11,8,1,9.0,0,7,0,1,2.0,4.0,2.0,3,3
47,0,1,1,4,3,0,72,0,2,4,1,59060,4.0,23,8,0,21.0,4,3,1,1,4.0,3.0,3.0,4,4
43,0,2,1,14,3,1,73,0,5,7,2,38860,1.0,17,8,2,9.0,2,9,0,0,3.0,3.0,4.0,3,3
27,0,0,1,2,3,0,74,1,1,7,1,168230,0.0,17,8,0,6.0,3,5,1,4,3.0,2.0,3.0,3,3
54,0,2,1,1,4,0,75,1,2,1,0,29330,3.0,12,8,2,20.0,2,4,0,3,4.0,3.0,2.0,3,3
43,0,1,1,7,2,0,76,0,2,5,1,65000,8.0,23,8,0,10.0,3,1,0,0,3.0,1.0,2.0,3,4
45,0,1,0,3,1,2,77,0,1,0,1,171740,9.0,14,8,1,12.0,6,10,9,8,4.0,4.0,3.0,3,3
40,0,1,1,2,4,5,78,1,4,1,1,50330,2.0,14,8,2,6.0,6,4,0,2,2.0,4.0,2.0,3,3
29,1,1,1,29,3,1,79,0,1,1,1,23070,1.0,13,8,1,7.0,0,7,0,7,2.0,1.0,2.0,3,3
29,0,1,2,8,3,1,80,1,3,6,0,25870,0.0,22,8,2,4.0,3,3,2,2,2.0,4.0,3.0,3,4
30,0,1,1,10,3,0,81,1,2,1,2,55070,1.0,12,8,2,10.0,2,10,1,2,4.0,3.0,3.0,2,3
27,0,1,1,11,2,1,82,1,1,5,1,43930,1.0,18,8,1,8.0,2,8,0,7,2.0,2.0,3.0,2,3
37,0,1,0,1,4,0,83,1,2,4,2,133480,7.0,14,8,0,8.0,4,6,0,4,4.0,4.0,2.0,3,3
38,0,1,1,28,4,1,84,1,1,2,2,65830,0.0,12,8,0,12.0,1,11,2,9,3.0,4.0,3.0,3,3
31,0,1,1,6,3,1,85,0,3,5,0,81030,1.0,15,8,1,11.0,5,11,4,10,3.0,4.0,3.0,3,3
29,0,1,1,3,4,0,86,1,3,0,2,39780,1.0,11,8,0,7.0,0,7,1,7,4.0,2.0,3.0,3,3
35,0,1,0,16,2,3,87,1,3,5,0,25440,0.0,13,8,1,17.0,3,16,0,13,3.0,2.0,3.0,4,3
23,0,1,1,20,4,0,88,1,1,3,2,53990,1.0,23,8,0,4.0,2,4,0,2,3.0,4.0,2.0,2,4
41,0,1,1,9,2,0,89,0,1,2,0,54870,6.0,19,8,2,8.0,0,5,1,2,4.0,2.0,3.0,3,3
47,0,2,0,1,3,1,90,0,2,2,0,68340,3.0,16,8,1,5.0,2,0,0,0,2.0,3.0,3.0,4,3
42,0,1,1,3,4,0,91,1,1,5,0,10910,2.0,22,8,0,16.0,0,1,0,0,1.0,4.0,3.0,1,4
29,0,0,0,22,4,2,92,1,2,8,1,57360,1.0,22,8,0,4.0,1,4,0,2,4.0,3.0,2.0,2,4
42,0,1,0,7,4,1,93,1,3,1,2,22260,0.0,12,8,1,4.0,3,3,1,0,3.0,3.0,3.0,2,3
32,0,1,1,2,3,1,94,1,2,1,1,57470,1.0,13,8,0,8.0,0,8,0,7,3.0,2.0,3.0,3,3
48,0,1,0,13,4,1,95,1,4,0,1,98540,3.0,16,8,1,15.0,2,0,0,0,1.0,3.0,1.0,2,3
37,0,1,1,8,5,3,96,1,2,3,2,54670,4.0,12,8,0,13.0,2,7,6,7,3.0,1.0,3.0,3,3
30,0,0,0,25,4,5,97,1,1,4,1,53800,7.0,21,8,1,4.0,0,2,2,2,4.0,3.0,4.0,3,4
26,0,1,0,28,3,1,98,0,5,2,1,51510,1.0,15,8,3,8.0,3,8,7,7,3.0,3.0,3.0,3,3
42,0,1,0,2,2,1,99,0,1,2,0,21330,3.0,13,8,2,14.0,2,1,0,0,1.0,4.0,3.0,3,3
21,1,2,1,9,3,1,100,0,4,3,0,178750,1.0,12,8,0,3.0,5,3,1,2,1.0,2.0,3.0,2,3
36,0,0,2,28,3,4,101,1,2,2,0,24320,4.0,22,8,0,7.0,4,1,0,0,4.0,4.0,3.0,1,4
36,0,2,1,6,3,0,102,0,2,1,1,47710,4.0,13,8,1,16.0,2,13,1,12,1.0,4.0,3.0,3,3
57,0,1,1,21,4,0,103,1,5,1,1,191610,2.0,18,8,0,15.0,2,3,1,2,4.0,3.0,3.0,1,3
40,0,1,1,8,3,5,104,1,2,0,1,50870,3.0,14,8,1,10.0,3,7,1,7,4.0,3.0,3.0,3,3
21,0,0,1,1,5,0,105,0,2,5,0,28630,1.0,14,8,0,3.0,2,3,2,2,1.0,4.0,2.0,1,3
33,1,1,2,28,2,4,106,0,5,5,0,55610,1.0,21,8,1,1.0,3,1,0,0,4.0,3.0,3.0,1,4
37,0,1,1,5,3,0,107,1,4,1,1,21440,6.0,19,8,0,17.0,3,5,0,3,3.0,1.0,3.0,4,3
46,0,0,0,2,4,2,108,0,2,2,1,30650,2.0,11,8,0,7.0,3,1,0,0,3.0,3.0,4.0,3,3
41,1,2,1,16,1,1,109,0,1,1,0,28100,1.0,11,8,0,8.0,3,8,7,7,1.0,2.0,3.0,4,3
50,0,1,1,9,3,1,110,0,3,2,0,98880,6.0,15,8,0,20.0,2,4,1,3,4.0,4.0,3.0,3,3
40,1,1,1,8,3,1,111,0,1,4,1,86280,2.0,20,8,0,8.0,2,6,1,0,3.0,3.0,3.0,2,4
31,0,1,1,1,3,0,112,1,4,8,0,28670,0.0,24,8,0,3.0,5,2,2,2,3.0,2.0,3.0,3,4
21,1,1,2,10,2,4,113,1,1,2,0,53730,1.0,12,8,1,1.0,2,1,0,0,3.0,2.0,3.0,3,3
29,0,1,1,1,3,0,114,0,2,7,0,66670,9.0,12,8,1,6.0,6,3,1,2,4.0,4.0,3.0,4,3
35,0,1,1,29,3,0,115,0,3,0,0,50030,9.0,15,8,0,10.0,2,1,0,0,3.0,2.0,3.0,3,3
27,0,1,0,2,3,0,116,1,1,0,2,23670,1.0,12,8,1,5.0,2,5,0,4,4.0,2.0,3.0,3,3
28,0,1,1,2,2,1,117,1,3,5,0,28580,1.0,12,8,0,7.0,2,7,0,7,2.0,4.0,3.0,2,3
49,0,1,0,2,3,3,118,1,2,3,0,52040,8.0,14,8,1,26.0,3,5,0,0,2.0,3.0,3.0,3,3
51,0,1,1,1,2,0,119,1,1,0,1,41050,4.0,22,8,1,18.0,2,7,0,7,3.0,4.0,2.0,3,4
36,0,1,0,15,2,0,120,1,1,0,1,96790,4.0,12,8,0,6.0,1,2,2,2,4.0,3.0,3.0,3,3
34,1,0,1,7,3,0,121,1,1,6,0,56170,8.0,25,8,1,9.0,3,5,0,4,1.0,4.0,2.0,3,4
55,0,1,0,26,3,2,122,1,1,2,0,104480,2.0,13,8,0,30.0,3,5,1,2,3.0,4.0,3.0,3,3
24,0,1,1,1,3,0,123,0,5,5,2,28970,1.0,18,8,3,5.0,4,5,0,3,4.0,3.0,4.0,3,3
30,0,1,1,3,3,0,124,0,2,5,1,59680,1.0,13,8,0,1.0,3,1,0,0,3.0,2.0,3.0,3,3
26,1,2,0,14,3,0,125,1,2,5,0,75100,0.0,18,8,3,7.0,3,6,0,4,3.0,4.0,3.0,3,3
22,0,1,1,16,5,5,126,1,1,1,1,29910,1.0,19,8,2,2.0,3,2,1,2,1.0,2.0,3.0,2,3
36,0,1,1,1,3,1,127,0,5,4,1,196360,1.0,12,8,1,10.0,3,10,9,0,2.0,3.0,3.0,3,3
30,1,2,0,3,2,2,128,1,3,1,0,11290,9.0,19,8,0,3.0,2,1,0,0,3.0,4.0,3.0,2,3
37,0,1,1,10,1,3,129,1,1,0,2,133410,1.0,14,8,1,18.0,3,18,12,17,4.0,1.0,2.0,3,3
40,0,1,1,6,2,1,130,1,3,1,2,43320,7.0,14,8,2,8.0,3,5,1,3,4.0,2.0,3.0,2,3
42,0,1,1,2,3,1,131,0,4,5,2,110310,3.0,12,8,1,8.0,2,5,1,2,2.0,1.0,3.0,2,3
37,0,1,0,9,1,2,132,1,3,0,0,44400,2.0,11,8,1,18.0,3,1,0,1,3.0,2.0,2.0,2,3
43,0,1,0,10,2,0,133,0,1,0,2,46170,1.0,11,8,0,25.0,2,25,3,9,1.0,2.0,3.0,3,3
40,0,1,0,6,2,0,134,0,1,2,1,26470,6.0,13,8,0,20.0,2,1,0,0,2.0,3.0,3.0,2,3
54,0,1,2,9,3,0,135,0,2,3,1,63230,4.0,23,8,1,24.0,2,4,1,2,1.0,1.0,2.0,2,4
34,0,0,1,28,3,1,136,1,1,2,1,56770,9.0,20,8,1,6.0,3,3,1,2,3.0,3.0,3.0,3,4
31,0,1,1,10,4,0,137,1,3,0,1,21870,1.0,15,8,1,13.0,2,13,3,12,2.0,1.0,1.0,2,3
43,0,2,0,14,3,0,138,0,1,3,1,37480,7.0,14,8,2,10.0,3,3,1,2,4.0,4.0,3.0,2,3
43,0,1,0,27,4,0,139,1,2,6,2,39770,4.0,18,8,1,8.0,3,5,0,2,3.0,3.0,3.0,3,3
25,0,1,2,7,2,4,140,1,1,3,0,86330,1.0,19,8,1,5.0,2,5,1,3,2.0,4.0,3.0,4,3
37,0,0,1,1,3,1,141,1,3,2,1,20080,3.0,22,8,0,15.0,5,13,10,7,2.0,3.0,3.0,2,4
31,0,1,1,24,1,1,142,1,3,2,1,44400,1.0,13,8,1,4.0,2,4,3,2,4.0,1.0,3.0,3,3
39,0,2,1,26,4,3,143,0,1,0,2,30670,1.0,20,8,1,21.0,5,21,1,6,2.0,3.0,3.0,1,4
56,0,2,1,20,4,0,144,0,3,0,1,53210,9.0,14,8,0,36.0,1,7,7,7,3.0,1.0,2.0,3,3
30,0,1,0,5,4,1,145,0,2,3,0,54100,0.0,17,8,1,6.0,2,5,4,4,2.0,3.0,3.0,3,3
41,0,1,1,7,3,3,146,0,3,1,1,27820,1.0,14,8,0,10.0,2,10,0,7,2.0,1.0,3.0,2,3
28,0,1,1,7,3,1,147,1,3,4,2,119570,1.0,13,8,0,10.0,2,10,1,8,3.0,1.0,3.0,2,3
25,1,1,1,5,2,0,148,0,3,2,1,26600,5.0,13,8,0,6.0,3,2,0,2,1.0,1.0,3.0,3,3
52,0,1,1,26,2,0,149,0,2,6,1,33750,2.0,21,8,0,28.0,2,5,0,4,4.0,3.0,3.0,2,4
45,0,1,1,2,3,1,150,0,1,0,1,50980,3.0,14,8,1,8.0,4,2,0,2,1.0,4.0,2.0,3,3
52,0,1,1,12,3,1,151,1,2,1,1,48780,2.0,11,8,1,31.0,3,5,1,4,4.0,4.0,1.0,3,3
42,0,2,0,10,3,2,152,0,2,4,2,28370,2.0,13,8,1,19.0,0,5,0,2,1.0,3.0,3.0,2,3
30,0,1,0,25,3,2,153,1,1,0,0,24060,2.0,20,8,1,11.0,5,5,0,2,3.0,4.0,3.0,3,4
60,0,1,1,10,3,0,154,0,1,3,1,22690,5.0,18,8,1,33.0,4,29,11,10,1.0,1.0,1.0,3,3
46,0,1,0,19,4,2,155,0,1,0,2,41080,2.0,14,8,0,19.0,5,10,0,8,3.0,3.0,2.0,2,3
42,0,2,1,18,4,3,156,1,4,0,1,132060,0.0,13,8,2,7.0,2,6,0,4,4.0,4.0,4.0,3,3
24,1,1,1,27,2,1,157,1,1,1,0,104220,1.0,17,8,1,6.0,0,5,1,4,1.0,2.0,3.0,2,3
34,1,2,1,5,3,1,158,1,2,1,2,137440,0.0,20,8,1,3.0,3,2,1,0,4.0,3.0,2.0,3,4
38,0,2,0,3,3,2,159,0,2,0,1,49070,1.0,11,8,1,1.0,3,1,0,0,4.0,4.0,3.0,3,3
40,0,1,0,26,4,2,160,0,1,0,1,34820,0.0,18,8,1,21.0,2,20,1,12,3.0,3.0,3.0,2,3
26,0,1,1,3,2,1,161,0,4,4,2,24360,1.0,24,8,0,3.0,2,3,0,2,1.0,4.0,1.0,4,4
30,0,0,1,15,3,1,162,0,2,0,1,23800,4.0,18,8,3,9.0,2,5,1,4,3.0,4.0,1.0,2,3
29,0,1,1,8,3,1,163,0,3,3,1,194310,1.0,11,8,0,10.0,3,10,0,7,2.0,3.0,3.0,3,3
29,1,1,1,19,4,0,164,1,3,1,1,17900,5.0,16,8,1,6.0,4,2,1,1,3.0,2.0,4.0,2,3
19,1,1,1,4,3,1,165,1,1,0,0,76440,1.0,15,8,2,1.0,2,1,0,0,1.0,4.0,4.0,3,3
30,0,0,1,2,4,0,166,0,3,1,1,51310,0.0,15,8,1,10.0,2,9,7,8,3.0,1.0,3.0,3,3
57,0,1,1,2,2,0,167,1,4,1,2,63060,3.0,12,8,1,32.0,3,1,0,0,1.0,4.0,2.0,3,3
50,0,1,0,10,4,0,168,0,3,5,1,47870,0.0,12,8,0,28.0,3,27,15,7,2.0,3.0,3.0,3,3
30,0,0,0,10,2,0,169,1,3,2,0,188800,0.0,22,8,1,12.0,3,11,6,7,3.0,4.0,2.0,3,4
60,0,2,1,16,3,0,170,0,4,2,1,23390,4.0,20,8,0,22.0,4,18,13,11,3.0,1.0,4.0,3,4
47,0,1,1,1,3,3,171,1,5,3,2,135700,5.0,16,8,2,20.0,2,5,0,4,1.0,4.0,3.0,2,3
46,0,1,0,4,1,3,172,1,1,2,1,67120,6.0,21,8,1,26.0,3,3,0,1,1.0,3.0,1.0,2,4
35,0,1,1,15,2,1,173,0,2,2,0,54060,0.0,12,8,1,6.0,2,5,4,3,4.0,3.0,3.0,3,3
54,0,1,1,2,4,1,174,1,2,8,0,89380,7.0,11,8,3,19.0,2,1,0,0,3.0,3.0,3.0,3,3
34,0,1,0,8,2,0,175,1,1,2,2,24390,3.0,11,8,2,14.0,2,7,5,7,4.0,3.0,3.0,4,3
46,0,1,1,2,3,0,176,1,1,4,1,88370,2.0,18,8,0,15.0,3,3,1,2,3.0,4.0,3.0,2,3
31,0,1,1,7,3,0,177,1,2,7,2,53430,1.0,14,8,1,13.0,3,13,0,8,3.0,2.0,4.0,3,3
33,1,1,1,10,3,0,178,0,4,7,1,67280,7.0,22,8,0,15.0,2,7,7,7,2.0,3.0,4.0,2,4
33,1,1,0,5,4,2,179,1,2,7,2,66520,7.0,25,8,0,8.0,5,4,1,3,1.0,4.0,3.0,3,4
30,0,1,1,2,3,0,180,1,1,0,0,48500,0.0,12,8,1,4.0,4,3,1,2,4.0,2.0,3.0,3,3
35,0,1,1,12,2,1,181,0,2,6,1,28090,4.0,23,8,1,10.0,2,8,0,0,4.0,3.0,3.0,1,4
31,1,2,1,22,2,1,182,0,2,0,1,56890,3.0,15,8,2,12.0,2,1,0,0,1.0,3.0,3.0,2,3
34,1,2,0,17,1,2,183,1,1,7,2,20010,9.0,22,8,1,11.0,5,3,0,2,2.0,1.0,3.0,4,4
42,0,2,1,2,4,1,184,0,1,1,1,29770,4.0,15,8,3,8.0,3,2,2,0,2.0,3.0,3.0,2,3
36,0,0,1,3,4,1,185,1,1,1,0,40250,1.0,11,8,0,10.0,3,10,9,7,2.0,4.0,2.0,3,3
22,1,2,1,7,3,1,186,0,2,2,0,37850,5.0,13,8,2,4.0,2,2,1,2,3.0,3.0,3.0,3,3
48,0,1,1,6,3,1,187,1,1,2,1,108540,2.0,14,8,1,14.0,6,9,6,7,2.0,4.0,3.0,3,3
55,0,1,1,1,3,1,188,0,1,0,0,120310,3.0,11,8,0,37.0,5,10,7,7,1.0,2.0,3.0,3,3
41,0,0,1,3,2,0,189,0,2,1,0,99360,7.0,17,8,1,16.0,2,14,1,10,4.0,4.0,3.0,2,3
35,0,1,1,22,3,1,190,0,1,6,1,29660,9.0,18,8,0,15.0,2,11,6,9,2.0,3.0,3.0,2,3
40,0,1,1,15,3,0,191,0,2,2,0,25710,7.0,14,8,0,22.0,1,20,5,13,2.0,3.0,3.0,3,3
39,0,2,1,12,1,1,192,1,1,1,1,99910,1.0,16,8,1,8.0,3,8,0,7,3.0,3.0,3.0,3,3
31,0,1,1,1,4,0,193,1,3,7,0,61420,4.0,13,8,2,10.0,2,6,0,5,2.0,4.0,4.0,2,3
42,0,1,1,5,3,1,194,1,3,0,1,53900,1.0,14,8,0,10.0,3,10,5,8,4.0,1.0,2.0,3,3
45,0,1,1,2,1,1,195,0,4,0,1,44040,0.0,23,8,0,9.0,2,8,3,7,4.0,2.0,4.0,3,4
26,1,2,1,2,1,0,196,0,2,2,2,59930,0.0,12,8,0,8.0,3,7,1,0,3.0,3.0,2.0,3,3
29,0,1,1,5,3,1,197,1,1,1,2,51300,4.0,11,8,0,8.0,3,3,1,2,4.0,4.0,4.0,2,3
33,0,1,1,16,3,1,198,0,1,2,2,20900,4.0,16,8,0,10.0,2,6,0,5,1.0,3.0,3.0,3,3
31,0,1,1,2,4,0,199,0,1,0,2,29090,9.0,14,8,2,10.0,2,5,0,1,3.0,4.0,2.0,3,3
18,1,2,1,2,3,3,200,1,1,0,0,34680,1.0,18,8,2,0.0,4,0,0,0,2.0,2.0,3.0,4,3
40,0,0,1,1,4,3,201,0,2,2,2,30680,3.0,19,8,0,20.0,3,1,0,1,3.0,1.0,3.0,2,3
41,0,0,1,23,3,0,202,1,2,3,0,26700,2.0,15,8,2,10.0,2,8,0,7,1.0,3.0,3.0,2,3
26,0,1,1,9,4,1,203,1,3,4,2,26930,5.0,17,8,3,8.0,3,0,0,0,1.0,3.0,3.0,2,3
35,0,1,1,16,4,1,204,1,2,8,0,95260,1.0,15,8,0,5.0,2,5,0,3,1.0,3.0,3.0,2,3
34,0,1,1,26,3,1,205,1,1,2,0,52370,1.0,19,8,1,10.0,3,10,5,7,4.0,4.0,3.0,2,3
26,1,1,0,1,3,2,206,0,2,3,0,24260,1.0,22,8,0,1.0,3,1,0,0,3.0,4.0,1.0,1,4
37,0,1,1,8,1,0,207,1,1,0,0,41930,4.0,16,8,1,12.0,5,6,1,2,2.0,4.0,4.0,3,3
46,0,2,1,4,1,1,208,1,5,8,1,29110,5.0,13,8,0,28.0,3,2,1,2,1.0,3.0,2.0,3,3
